customer_id,product_id
813,412
28,308
742,477
566,298
816,358
549,323
699,166
655,359
61,410
28,214
939,77
807,217
238,125
188,175
249,127
918,117
264,394
372,487
597,126
780,327
463,343
643,414
202,48
841,362
601,273
489,128
349,72
342,224
362,152
386,409
698,426
5,428
471,204
262,108
737,194
414,243
237,466
888,464
723,489
730,387
210,277
37,84
24,217
239,39
599,339
170,410
747,474
355,136
527,470
888,459
532,367
506,433
421,145
168,393
236,258
2,427
793,473
50,389
833,217
888,19
628,473
155,404
968,128
802,371
673,471
738,478
808,44
983,153
808,135
138,389
999,257
223,147
68,48
679,481
933,72
787,381
295,206
590,393
916,202
691,243
398,401
819,389
733,103
295,392
814,81
973,380
234,26
239,416
305,374
740,53
214,298
850,4
410,174
899,7
438,270
901,446
699,397
490,4
413,325
470,391
824,489
696,289
192,23
193,47
603,297
363,330
402,124
317,380
662,108
535,218
29,347
173,291
548,64
737,171
571,212
485,436
509,233
484,18
529,165
833,198
301,213
208,416
783,337
371,228
145,326
997,240
469,60
287,496
422,454
973,199
230,353
534,392
305,262
67,313
51,183
177,352
241,486
701,277
892,499
615,491
682,419
4,167
501,441
436,67
415,143
397,1
592,194
12,329
990,454
495,186
306,395
868,282
801,347
985,453
911,340
893,273
204,455
148,59
863,166
659,166
939,381
220,452
270,249
152,413
746,20
949,67
865,280
658,56
975,382
970,355
685,476
401,494
554,155
4,125
736,216
824,252
975,195
379,385
423,199
41,442
375,377
634,42
245,243
857,441
869,446
365,412
808,354
882,274
906,483
9,172
426,43
780,143
738,68
660,322
345,316
741,16
887,336
522,175
973,494
869,440
389,50
916,403
720,26
42,262
208,319
383,295
830,156
537,314
29,81
467,279
298,271
88,83
40,455
891,288
195,179
848,329
134,34
663,194
112,496
739,134
16,462
660,89
159,386
639,198
285,278
895,112
287,61
26,355
607,464
827,363
994,444
412,25
456,278
142,378
836,174
4,349
646,222
754,436
398,382
515,39
164,200
589,313
524,219
685,445
627,488
77,30
942,196
780,58
8,307
364,151
699,499
326,247
135,71
980,447
907,229
849,330
899,393
369,12
198,221
576,279
174,461
760,449
174,216
417,309
47,371
952,94
303,284
205,487
255,307
79,39
707,19
478,248
945,178
331,380
781,109
277,404
906,134
8,441
315,452
483,338
736,353
139,348
70,43
312,18
25,206
598,435
80,497
543,8
248,356
647,301
553,289
367,160
193,477
762,440
805,18
302,291
197,117
489,398
582,121
701,89
788,177
270,147
571,394
800,169
847,252
24,274
839,402
460,259
421,433
451,440
544,381
186,495
909,299
483,57
789,354
626,58
996,490
771,448
981,91
743,332
199,497
930,160
124,419
318,247
110,2
956,323
415,16
25,6
240,217
761,488
24,367
249,322
735,362
361,315
782,107
982,163
287,451
260,4
703,229
62,295
380,392
475,386
306,131
709,177
49,308
519,132
162,231
753,183
41,292
339,427
741,355
60,34
727,65
399,430
772,4
684,110
734,46
591,56
721,379
305,409
155,466
681,16
742,122
976,289
833,68
939,103
701,165
966,454
658,409
948,105
812,111
9,391
242,155
695,165
494,302
371,231
249,361
783,178
256,363
64,249
392,286
563,123
443,153
590,233
342,64
781,15
241,403
124,209
296,21
325,369
340,35
26,396
945,277
599,207
537,241
732,257
222,160
948,77
158,348
720,60
884,395
3,161
248,381
740,312
795,442
506,184
784,79
672,287
109,332
249,2
220,81
775,67
802,360
340,215
993,381
366,39
90,456
807,473
284,476
402,14
775,403
333,443
999,17
429,398
812,139
19,229
783,6
618,26
918,206
28,189
337,289
194,312
158,461
967,482
526,475
160,30
949,338
24,467
500,73
680,267
67,191
208,366
333,340
645,56
832,417
195,194
149,451
715,319
216,314
82,495
789,21
653,369
166,89
504,23
410,93
57,412
730,262
993,290
650,398
632,257
333,40
764,484
773,91
61,326
807,31
86,35
228,234
758,436
1000,14
704,364
187,41
77,353
891,457
954,254
268,396
305,372
